,City,State,Song,lat,long
307,Los Angeles,California,Ciclon,34.0536909,-118.242766
308,Los Angeles,California,Cimarron Street Breakdown,34.0536909,-118.242766
309,Los Angeles,California,The City,34.0536909,-118.242766
310,Los Angeles,California,City of Angels,34.0536909,-118.242766
311,Los Angeles,California,City of Angels,34.0536909,-118.242766
312,Los Angeles,California,City of Angels,34.0536909,-118.242766
313,Los Angeles,California,City of Angels,34.0536909,-118.242766
314,Los Angeles,California,City of Angels,34.0536909,-118.242766
315,Los Angeles,California,City of Angels,34.0536909,-118.242766
316,Los Angeles,California,Theme from City of Angels,34.0536909,-118.242766
317,Los Angeles,California,City of Angels,34.0536909,-118.242766
318,Los Angeles,California,City of Angels,34.0536909,-118.242766
319,Los Angeles,California,City of Angels,34.0536909,-118.242766
320,Los Angeles,California,City of Angels,34.0536909,-118.242766
321,Los Angeles,California,City of Angels,34.0536909,-118.242766
322,Los Angeles,California,City of Angels,34.0536909,-118.242766
323,Los Angeles,California,City of Angels,34.0536909,-118.242766
324,Los Angeles,California,City of Angels,34.0536909,-118.242766
325,Los Angeles,California,City of Angels,34.0536909,-118.242766
326,Los Angeles,California,City of Angels,34.0536909,-118.242766
327,Los Angeles,California,City of Angels,34.0536909,-118.242766
328,Los Angeles,California,City of Angels,34.0536909,-118.242766
329,Los Angeles,California,City of Angels,34.0536909,-118.242766
330,Los Angeles,California,City of Angels,34.0536909,-118.242766
331,Los Angeles,California,City of Angels,34.0536909,-118.242766
332,Los Angeles,California,City of Angels,34.0536909,-118.242766
333,Los Angeles,California,,34.0536909,-118.242766
334,Los Angeles,California,City of Devils,34.0536909,-118.242766
335,Los Angeles,California,City of the Angels,34.0536909,-118.242766
336,Los Angeles,California,City of the Angels,34.0536909,-118.242766
337,Los Angeles,California,City Of The Angels,34.0536909,-118.242766
338,Los Angeles,California,City of the Angels,34.0536909,-118.242766
339,Los Angeles,California,City of the Angels,34.0536909,-118.242766
340,Los Angeles,California,City of the Angels,34.0536909,-118.242766
341,Los Angeles,California,City of the Angels,34.0536909,-118.242766
342,Los Angeles,California,City of the Angels,34.0536909,-118.242766
343,Los Angeles,California,City of the Angels,34.0536909,-118.242766
